id,name_ja,name_en,category_ja,summary_ja,status,confidence,source_level,memo
DOM-000001,性格心理学,Personality Psychology,心理学,性格特性や個人差を扱う分野,active,5,A,Big FiveやHEXACOなどの基礎分野
DOM-000002,認知心理学,Cognitive Psychology,心理学,注意・記憶・判断・思考などを扱う分野,active,5,A,ゲーム分析との相性が高い
DOM-000003,神経心理学,Neuropsychology,心理・医学,脳機能と認知・行動の関係を扱う分野,active,5,A,注意・記憶・実行機能の根拠に使う
DOM-000004,知能研究,Intelligence Research,心理学,知能や認知能力の構造を扱う分野,active,5,A,IQ風評価の参考
DOM-000005,発達心理学,Developmental Psychology,心理学,年齢や発達段階による心理変化を扱う分野,active,4,A,若年層向けアプリで参考
DOM-000006,教育心理学,Educational Psychology,心理学,学習・理解・動機づけを扱う分野,active,4,A,学習系アプリで重要
DOM-000007,臨床心理学,Clinical Psychology,心理・医療,心理的困りごとや評価を扱う分野,active,4,A,診断ではなく評価軸の参考
DOM-000008,精神医学,Psychiatry,医療,精神疾患や診断体系を扱う医学分野,active,4,A,医療診断には使わず概念整理の参考
DOM-000009,ADHD評価,ADHD Assessment,医療・心理,不注意・多動性・衝動性などの評価領域,active,5,A,診断用途ではなく注意・実行機能の参考
DOM-000010,ASD評価,ASD Assessment,医療・心理,社会性・コミュニケーション・感覚特性などの評価領域,active,4,A,慎重に扱う
DOM-000011,実行機能研究,Executive Function Research,認知科学,計画・抑制・切替・作業記憶などを扱う分野,active,5,A,分析エンジンの中核
DOM-000012,行動経済学,Behavioral Economics,行動科学,意思決定の癖やバイアスを扱う分野,active,4,A,リスク選好や損失回避の参考
DOM-000013,意思決定研究,Decision Making Research,認知科学,選択・判断・リスク判断を扱う分野,active,4,A,ゲーム内選択分析に使う
DOM-000014,感情心理学,Emotion Psychology,心理学,感情反応や感情調整を扱う分野,active,4,A,ストレス下の変化に関連
DOM-000015,動機づけ心理学,Motivation Psychology,心理学,行動の動機や報酬への反応を扱う分野,active,4,A,継続率や挑戦性に関連
DOM-000016,社会心理学,Social Psychology,心理学,対人行動や集団行動を扱う分野,active,4,A,協調性や競争性に関連
DOM-000017,産業・組織心理学,Industrial and Organizational Psychology,心理学,仕事適性や組織行動を扱う分野,active,4,A,適職・仕事診断系に展開可能
DOM-000018,人間工学,Human Factors,工学・心理,人間の操作特性や認知負荷を扱う分野,active,4,A,UI・ゲーム操作分析に関連
DOM-000019,UX研究,User Experience Research,実務・研究,ユーザー体験や行動ログを扱う分野,active,3,B,アプリ改善と相性が良い
DOM-000020,ゲーム研究,Game Studies,ゲーム,ゲーム体験やプレイヤー行動を扱う分野,active,3,B,プレイスタイル分類に使う
DOM-000021,ゲームUX,Game UX,ゲーム・UX,ゲーム内行動と体験設計を扱う分野,active,4,B,実装面で重要
DOM-000022,プレイヤータイプ研究,Player Type Research,ゲーム・心理,プレイヤーの好みや行動傾向を分類する分野,active,3,B,診断演出に使える
DOM-000023,脳トレ・認知トレーニング,Cognitive Training,認知・ゲーム,認知機能を課題で鍛える領域,active,3,B,脳トレ系アプリで参考
DOM-000024,適性検査,Aptitude Testing,心理・実務,能力や性格から適性を評価する領域,active,4,B,仕事・学習向け診断に関連
DOM-000025,心理測定学,Psychometrics,心理学,検査や尺度の信頼性・妥当性を扱う分野,active,5,A,辞典全体の品質管理に重要
DOM-000026,統計・データ分析,Statistics and Data Analysis,技術,データから傾向を評価するための基礎分野,active,5,A,スコア設計に必要
DOM-000027,機械学習,Machine Learning,技術,データからパターンを学習する技術分野,active,3,B,将来の推論層で使う可能性
DOM-000028,行動ログ分析,Behavior Log Analysis,技術・UX,操作履歴から行動傾向を分析する領域,active,4,B,ゲームデータ分析の実装中核
DOM-000029,自己理解・自己分析,Self Understanding,実務・心理,自分の傾向を理解するための領域,active,3,C,アプリ表示や商品設計に関連
DOM-000030,エンターテインメント診断,Entertainment Assessment,アプリ,娯楽として診断風体験を提供する領域,active,3,C,最終アプリの表現領域
